"AGE","SEX","TNM_N_cat","TNM_T_cat","colon_cea","no_metastasis","metastasis","risk_level"
67,"2","N0","T0",1,0.4766,0.5234,"HIGH"
68,"2","N0","T0",1,0.5425,0.4575,"LOW"
69,"2","N0","T0",1,0.4476,0.5524,"HIGH"
70,"2","N0","T0",1,0.4413,0.5587,"HIGH"
71,"2","N0","T0",1,0.4245,0.5755,"HIGH"
72,"2","N0","T0",1,0.3837,0.6163,"HIGH"
73,"2","N0","T0",1,0.3943,0.6057,"HIGH"
74,"2","N0","T0",1,0.4181,0.5819,"HIGH"
75,"2","N0","T0",1,0.357,0.643,"HIGH"
76,"2","N0","T0",1,0.3562,0.6438,"HIGH"
77,"2","N0","T0",1,0.4096,0.5904,"HIGH"
78,"2","N0","T0",1,0.4309,0.5691,"HIGH"
79,"2","N0","T0",1,0.497,0.503,"HIGH"
80,"2","N0","T0",1,0.4718,0.5282,"HIGH"
81,"2","N0","T0",1,0.3622,0.6378,"HIGH"
82,"2","N0","T0",1,0.4128,0.5872,"HIGH"
83,"2","N0","T0",1,0.428,0.572,"HIGH"
84,"2","N0","T0",1,0.4051,0.5949,"HIGH"
85,"2","N0","T0",1,0.4439,0.5561,"HIGH"
86,"2","N0","T0",1,0.4244,0.5756,"HIGH"
87,"2","N0","T0",1,0.5477,0.4523,"LOW"
88,"2","N0","T0",1,0.5441,0.4559,"LOW"
89,"2","N0","T0",1,0.5964,0.4036,"LOW"
90,"2","N0","T0",1,0.5449,0.4551,"LOW"
91,"2","N0","T0",1,0.5449,0.4551,"LOW"
92,"2","N0","T0",1,0.5449,0.4551,"LOW"
93,"2","N0","T0",1,0.5449,0.4551,"LOW"
94,"2","N0","T0",1,0.5449,0.4551,"LOW"
95,"2","N0","T0",1,0.5449,0.4551,"LOW"
96,"2","N0","T0",1,0.5449,0.4551,"LOW"
97,"2","N0","T0",1,0.5449,0.4551,"LOW"
98,"2","N0","T0",1,0.5449,0.4551,"LOW"
99,"2","N0","T0",1,0.5449,0.4551,"LOW"
0,"1","N1","T0",1,0.2919,0.7081,"HIGH"
1,"1","N1","T0",1,0.2919,0.7081,"HIGH"
2,"1","N1","T0",1,0.2919,0.7081,"HIGH"
3,"1","N1","T0",1,0.2919,0.7081,"HIGH"
4,"1","N1","T0",1,0.2919,0.7081,"HIGH"
