"AGE","SEX","TNM_N_cat","TNM_T_cat","no_metastasis","metastasis","risk_level"
58,"1","N1","T0",0.3265,0.6735,"HIGH"
59,"1","N1","T0",0.3319,0.6681,"HIGH"
60,"1","N1","T0",0.4165,0.5835,"HIGH"
61,"1","N1","T0",0.3639,0.6361,"HIGH"
62,"1","N1","T0",0.4053,0.5947,"HIGH"
63,"1","N1","T0",0.3694,0.6306,"HIGH"
64,"1","N1","T0",0.3609,0.6391,"HIGH"
65,"1","N1","T0",0.3766,0.6234,"HIGH"
66,"1","N1","T0",0.3725,0.6275,"HIGH"
67,"1","N1","T0",0.3487,0.6513,"HIGH"
68,"1","N1","T0",0.4468,0.5532,"HIGH"
69,"1","N1","T0",0.4714,0.5286,"HIGH"
70,"1","N1","T0",0.459,0.541,"HIGH"
71,"1","N1","T0",0.2833,0.7167,"HIGH"
72,"1","N1","T0",0.2693,0.7307,"HIGH"
73,"1","N1","T0",0.3233,0.6767,"HIGH"
74,"1","N1","T0",0.3224,0.6776,"HIGH"
75,"1","N1","T0",0.4525,0.5475,"HIGH"
76,"1","N1","T0",0.507,0.493,"LOW"
77,"1","N1","T0",0.5058,0.4942,"LOW"
78,"1","N1","T0",0.381,0.619,"HIGH"
79,"1","N1","T0",0.4342,0.5658,"HIGH"
80,"1","N1","T0",0.3091,0.6909,"HIGH"
81,"1","N1","T0",0.287,0.713,"HIGH"
82,"1","N1","T0",0.2721,0.7279,"HIGH"
83,"1","N1","T0",0.2896,0.7104,"HIGH"
84,"1","N1","T0",0.3458,0.6542,"HIGH"
85,"1","N1","T0",0.2361,0.7639,"HIGH"
86,"1","N1","T0",0.2409,0.7591,"HIGH"
87,"1","N1","T0",0.2719,0.7281,"HIGH"
88,"1","N1","T0",0.1691,0.8309,"HIGH"
89,"1","N1","T0",0.1635,0.8365,"HIGH"
90,"1","N1","T0",0.1564,0.8436,"HIGH"
91,"1","N1","T0",0.1564,0.8436,"HIGH"
92,"1","N1","T0",0.1564,0.8436,"HIGH"
93,"1","N1","T0",0.1564,0.8436,"HIGH"
94,"1","N1","T0",0.1564,0.8436,"HIGH"
95,"1","N1","T0",0.1564,0.8436,"HIGH"
96,"1","N1","T0",0.1564,0.8436,"HIGH"
97,"1","N1","T0",0.1564,0.8436,"HIGH"
98,"1","N1","T0",0.1564,0.8436,"HIGH"
99,"1","N1","T0",0.1564,0.8436,"HIGH"
0,"2","N1","T0",0.2835,0.7165,"HIGH"
1,"2","N1","T0",0.2835,0.7165,"HIGH"
2,"2","N1","T0",0.2835,0.7165,"HIGH"
3,"2","N1","T0",0.2835,0.7165,"HIGH"
4,"2","N1","T0",0.2835,0.7165,"HIGH"
5,"2","N1","T0",0.2835,0.7165,"HIGH"
6,"2","N1","T0",0.2835,0.7165,"HIGH"
7,"2","N1","T0",0.2835,0.7165,"HIGH"
8,"2","N1","T0",0.2835,0.7165,"HIGH"
9,"2","N1","T0",0.2835,0.7165,"HIGH"
10,"2","N1","T0",0.2835,0.7165,"HIGH"
11,"2","N1","T0",0.2835,0.7165,"HIGH"
12,"2","N1","T0",0.2835,0.7165,"HIGH"
13,"2","N1","T0",0.2835,0.7165,"HIGH"
14,"2","N1","T0",0.2835,0.7165,"HIGH"
15,"2","N1","T0",0.2835,0.7165,"HIGH"
16,"2","N1","T0",0.2835,0.7165,"HIGH"
17,"2","N1","T0",0.2835,0.7165,"HIGH"
18,"2","N1","T0",0.2835,0.7165,"HIGH"
19,"2","N1","T0",0.2835,0.7165,"HIGH"
20,"2","N1","T0",0.2855,0.7145,"HIGH"
21,"2","N1","T0",0.2875,0.7125,"HIGH"
22,"2","N1","T0",0.2935,0.7065,"HIGH"
23,"2","N1","T0",0.2915,0.7085,"HIGH"
24,"2","N1","T0",0.298,0.702,"HIGH"
25,"2","N1","T0",0.2832,0.7168,"HIGH"
26,"2","N1","T0",0.2823,0.7177,"HIGH"
27,"2","N1","T0",0.2693,0.7307,"HIGH"
28,"2","N1","T0",0.2627,0.7373,"HIGH"
29,"2","N1","T0",0.2474,0.7526,"HIGH"
30,"2","N1","T0",0.2505,0.7495,"HIGH"
31,"2","N1","T0",0.221,0.779,"HIGH"
32,"2","N1","T0",0.231,0.769,"HIGH"
33,"2","N1","T0",0.2176,0.7824,"HIGH"
34,"2","N1","T0",0.2173,0.7827,"HIGH"
35,"2","N1","T0",0.2179,0.7821,"HIGH"
