"AGE","SEX","TNM_N_cat","TNM_T_cat","no_metastasis","metastasis","risk_level"
10,"1","N2","T0",0.3817,0.6183,"HIGH"
11,"1","N2","T0",0.3817,0.6183,"HIGH"
12,"1","N2","T0",0.3817,0.6183,"HIGH"
13,"1","N2","T0",0.3817,0.6183,"HIGH"
14,"1","N2","T0",0.3817,0.6183,"HIGH"
15,"1","N2","T0",0.3817,0.6183,"HIGH"
16,"1","N2","T0",0.3817,0.6183,"HIGH"
17,"1","N2","T0",0.3817,0.6183,"HIGH"
18,"1","N2","T0",0.3817,0.6183,"HIGH"
19,"1","N2","T0",0.3817,0.6183,"HIGH"
20,"1","N2","T0",0.3817,0.6183,"HIGH"
21,"1","N2","T0",0.3817,0.6183,"HIGH"
22,"1","N2","T0",0.3817,0.6183,"HIGH"
23,"1","N2","T0",0.3817,0.6183,"HIGH"
24,"1","N2","T0",0.3817,0.6183,"HIGH"
25,"1","N2","T0",0.3937,0.6063,"HIGH"
26,"1","N2","T0",0.4023,0.5977,"HIGH"
27,"1","N2","T0",0.4023,0.5977,"HIGH"
28,"1","N2","T0",0.4023,0.5977,"HIGH"
29,"1","N2","T0",0.4023,0.5977,"HIGH"
30,"1","N2","T0",0.4481,0.5519,"HIGH"
31,"1","N2","T0",0.4856,0.5144,"HIGH"
32,"1","N2","T0",0.4267,0.5733,"HIGH"
33,"1","N2","T0",0.4086,0.5914,"HIGH"
34,"1","N2","T0",0.4569,0.5431,"HIGH"
35,"1","N2","T0",0.4942,0.5058,"HIGH"
36,"1","N2","T0",0.5064,0.4936,"LOW"
37,"1","N2","T0",0.5321,0.4679,"LOW"
38,"1","N2","T0",0.5253,0.4747,"LOW"
39,"1","N2","T0",0.3841,0.6159,"HIGH"
40,"1","N2","T0",0.3581,0.6419,"HIGH"
41,"1","N2","T0",0.3879,0.6121,"HIGH"
42,"1","N2","T0",0.3201,0.6799,"HIGH"
43,"1","N2","T0",0.3224,0.6776,"HIGH"
44,"1","N2","T0",0.3307,0.6693,"HIGH"
45,"1","N2","T0",0.4084,0.5916,"HIGH"
46,"1","N2","T0",0.4207,0.5793,"HIGH"
47,"1","N2","T0",0.4225,0.5775,"HIGH"
48,"1","N2","T0",0.3981,0.6019,"HIGH"
49,"1","N2","T0",0.4058,0.5942,"HIGH"
50,"1","N2","T0",0.4189,0.5811,"HIGH"
51,"1","N2","T0",0.4421,0.5579,"HIGH"
52,"1","N2","T0",0.4305,0.5695,"HIGH"
53,"1","N2","T0",0.4421,0.5579,"HIGH"
54,"1","N2","T0",0.4353,0.5647,"HIGH"
