"AGE","SEX","TNM_N_cat","TNM_T_cat","liver_afp_cat","liver_fs_cat","no_metastasis","metastasis","risk_level"
94,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6522,0.3478,"LOW"
95,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6522,0.3478,"LOW"
96,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6522,0.3478,"LOW"
97,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6522,0.3478,"LOW"
98,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6522,0.3478,"LOW"
99,"2","N0","T0","Negative/normal","Fibrosis score 0-4",0.6522,0.3478,"LOW"
0,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3155,0.6845,"HIGH"
1,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3155,0.6845,"HIGH"
2,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3155,0.6845,"HIGH"
3,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3155,0.6845,"HIGH"
4,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3155,0.6845,"HIGH"
5,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3155,0.6845,"HIGH"
6,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3155,0.6845,"HIGH"
7,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3155,0.6845,"HIGH"
8,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3155,0.6845,"HIGH"
9,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3155,0.6845,"HIGH"
10,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3155,0.6845,"HIGH"
11,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3155,0.6845,"HIGH"
12,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3185,0.6815,"HIGH"
13,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3238,0.6762,"HIGH"
14,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3253,0.6747,"HIGH"
15,"1","N1","T0","Negative/normal","Fibrosis score 0-4",0.3335,0.6665,"HIGH"
