"AGE","SEX","TNM_N_cat","TNM_T_cat","retroper_sg_cat","no_metastasis","metastasis","risk_level"
87,"1","N1","T0","1",0.6318,0.3682,"LOW"
88,"1","N1","T0","1",0.6328,0.3672,"LOW"
89,"1","N1","T0","1",0.6339,0.3661,"LOW"
90,"1","N1","T0","1",0.635,0.365,"LOW"
91,"1","N1","T0","1",0.635,0.365,"LOW"
92,"1","N1","T0","1",0.635,0.365,"LOW"
93,"1","N1","T0","1",0.635,0.365,"LOW"
94,"1","N1","T0","1",0.635,0.365,"LOW"
95,"1","N1","T0","1",0.635,0.365,"LOW"
96,"1","N1","T0","1",0.635,0.365,"LOW"
97,"1","N1","T0","1",0.635,0.365,"LOW"
98,"1","N1","T0","1",0.635,0.365,"LOW"
99,"1","N1","T0","1",0.635,0.365,"LOW"
0,"2","N1","T0","1",0.6426,0.3574,"LOW"
1,"2","N1","T0","1",0.644,0.356,"LOW"
2,"2","N1","T0","1",0.6426,0.3574,"LOW"
3,"2","N1","T0","1",0.642,0.358,"LOW"
4,"2","N1","T0","1",0.6441,0.3559,"LOW"
5,"2","N1","T0","1",0.6414,0.3586,"LOW"
6,"2","N1","T0","1",0.6444,0.3556,"LOW"
7,"2","N1","T0","1",0.6475,0.3525,"LOW"
8,"2","N1","T0","1",0.6465,0.3535,"LOW"
9,"2","N1","T0","1",0.6436,0.3564,"LOW"
10,"2","N1","T0","1",0.6428,0.3572,"LOW"
11,"2","N1","T0","1",0.6393,0.3607,"LOW"
12,"2","N1","T0","1",0.6443,0.3557,"LOW"
13,"2","N1","T0","1",0.6468,0.3532,"LOW"
14,"2","N1","T0","1",0.6485,0.3515,"LOW"
15,"2","N1","T0","1",0.6492,0.3508,"LOW"
16,"2","N1","T0","1",0.6522,0.3478,"LOW"
17,"2","N1","T0","1",0.6537,0.3463,"LOW"
18,"2","N1","T0","1",0.6536,0.3464,"LOW"
19,"2","N1","T0","1",0.6569,0.3431,"LOW"
20,"2","N1","T0","1",0.6597,0.3403,"LOW"
21,"2","N1","T0","1",0.6647,0.3353,"LOW"
22,"2","N1","T0","1",0.6673,0.3327,"LOW"
23,"2","N1","T0","1",0.6713,0.3287,"LOW"
24,"2","N1","T0","1",0.673,0.327,"LOW"
25,"2","N1","T0","1",0.6777,0.3223,"LOW"
26,"2","N1","T0","1",0.6836,0.3164,"LOW"
27,"2","N1","T0","1",0.6851,0.3149,"LOW"
28,"2","N1","T0","1",0.6867,0.3133,"LOW"
29,"2","N1","T0","1",0.6881,0.3119,"LOW"
30,"2","N1","T0","1",0.6901,0.3099,"LOW"
31,"2","N1","T0","1",0.6903,0.3097,"LOW"
32,"2","N1","T0","1",0.6857,0.3143,"LOW"
33,"2","N1","T0","1",0.6886,0.3114,"LOW"
34,"2","N1","T0","1",0.691,0.309,"LOW"
35,"2","N1","T0","1",0.6913,0.3087,"LOW"
36,"2","N1","T0","1",0.691,0.309,"LOW"
37,"2","N1","T0","1",0.6915,0.3085,"LOW"
38,"2","N1","T0","1",0.6923,0.3077,"LOW"
39,"2","N1","T0","1",0.6878,0.3122,"LOW"
40,"2","N1","T0","1",0.6872,0.3128,"LOW"
41,"2","N1","T0","1",0.6885,0.3115,"LOW"
42,"2","N1","T0","1",0.689,0.311,"LOW"
43,"2","N1","T0","1",0.6895,0.3105,"LOW"
44,"2","N1","T0","1",0.684,0.316,"LOW"
45,"2","N1","T0","1",0.6834,0.3166,"LOW"
46,"2","N1","T0","1",0.6867,0.3133,"LOW"
47,"2","N1","T0","1",0.693,0.307,"LOW"
48,"2","N1","T0","1",0.6936,0.3064,"LOW"
49,"2","N1","T0","1",0.6906,0.3094,"LOW"
50,"2","N1","T0","1",0.6904,0.3096,"LOW"
51,"2","N1","T0","1",0.6901,0.3099,"LOW"
52,"2","N1","T0","1",0.6895,0.3105,"LOW"
53,"2","N1","T0","1",0.69,0.31,"LOW"
54,"2","N1","T0","1",0.6894,0.3106,"LOW"
55,"2","N1","T0","1",0.6855,0.3145,"LOW"
56,"2","N1","T0","1",0.6837,0.3163,"LOW"
57,"2","N1","T0","1",0.6818,0.3182,"LOW"
58,"2","N1","T0","1",0.6803,0.3197,"LOW"
59,"2","N1","T0","1",0.6803,0.3197,"LOW"
60,"2","N1","T0","1",0.6804,0.3196,"LOW"
61,"2","N1","T0","1",0.6802,0.3198,"LOW"
62,"2","N1","T0","1",0.6797,0.3203,"LOW"
63,"2","N1","T0","1",0.6778,0.3222,"LOW"
64,"2","N1","T0","1",0.6766,0.3234,"LOW"
65,"2","N1","T0","1",0.6764,0.3236,"LOW"
66,"2","N1","T0","1",0.6755,0.3245,"LOW"
67,"2","N1","T0","1",0.6739,0.3261,"LOW"
68,"2","N1","T0","1",0.6719,0.3281,"LOW"
69,"2","N1","T0","1",0.6708,0.3292,"LOW"
70,"2","N1","T0","1",0.674,0.326,"LOW"
71,"2","N1","T0","1",0.6752,0.3248,"LOW"
72,"2","N1","T0","1",0.6749,0.3251,"LOW"
73,"2","N1","T0","1",0.6732,0.3268,"LOW"
74,"2","N1","T0","1",0.6732,0.3268,"LOW"
75,"2","N1","T0","1",0.6737,0.3263,"LOW"
76,"2","N1","T0","1",0.6735,0.3265,"LOW"
77,"2","N1","T0","1",0.6703,0.3297,"LOW"
78,"2","N1","T0","1",0.6671,0.3329,"LOW"
79,"2","N1","T0","1",0.6669,0.3331,"LOW"
80,"2","N1","T0","1",0.6714,0.3286,"LOW"
81,"2","N1","T0","1",0.6719,0.3281,"LOW"
82,"2","N1","T0","1",0.6763,0.3237,"LOW"
83,"2","N1","T0","1",0.6786,0.3214,"LOW"
84,"2","N1","T0","1",0.6787,0.3213,"LOW"
85,"2","N1","T0","1",0.6795,0.3205,"LOW"
86,"2","N1","T0","1",0.6839,0.3161,"LOW"
87,"2","N1","T0","1",0.6848,0.3152,"LOW"
88,"2","N1","T0","1",0.6854,0.3146,"LOW"
89,"2","N1","T0","1",0.6865,0.3135,"LOW"
90,"2","N1","T0","1",0.688,0.312,"LOW"
91,"2","N1","T0","1",0.688,0.312,"LOW"
92,"2","N1","T0","1",0.688,0.312,"LOW"
93,"2","N1","T0","1",0.688,0.312,"LOW"
94,"2","N1","T0","1",0.688,0.312,"LOW"
95,"2","N1","T0","1",0.688,0.312,"LOW"
96,"2","N1","T0","1",0.688,0.312,"LOW"
97,"2","N1","T0","1",0.688,0.312,"LOW"
98,"2","N1","T0","1",0.688,0.312,"LOW"
99,"2","N1","T0","1",0.688,0.312,"LOW"
0,"1","Other/Unknown","T0","1",0.7605,0.2395,"LOW"
1,"1","Other/Unknown","T0","1",0.7648,0.2352,"LOW"
2,"1","Other/Unknown","T0","1",0.7589,0.2411,"LOW"
3,"1","Other/Unknown","T0","1",0.7493,0.2507,"LOW"
4,"1","Other/Unknown","T0","1",0.7563,0.2437,"LOW"
5,"1","Other/Unknown","T0","1",0.7601,0.2399,"LOW"
6,"1","Other/Unknown","T0","1",0.7617,0.2383,"LOW"
7,"1","Other/Unknown","T0","1",0.7634,0.2366,"LOW"
8,"1","Other/Unknown","T0","1",0.765,0.235,"LOW"
9,"1","Other/Unknown","T0","1",0.7656,0.2344,"LOW"
10,"1","Other/Unknown","T0","1",0.7662,0.2338,"LOW"
11,"1","Other/Unknown","T0","1",0.7694,0.2306,"LOW"
12,"1","Other/Unknown","T0","1",0.7747,0.2253,"LOW"
13,"1","Other/Unknown","T0","1",0.779,0.221,"LOW"
14,"1","Other/Unknown","T0","1",0.7782,0.2218,"LOW"
